Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Percent of the population who cannot afford a healthy diet [CoHD_headcount]
Food Prices for Nutrition 2.1,FPN 2.1,Albania,ALB,2021,YR2021,15.7
Food Prices for Nutrition 2.1,FPN 2.1,Algeria,DZA,2021,YR2021,32.2
Food Prices for Nutrition 2.1,FPN 2.1,Angola,AGO,2021,YR2021,88.1
Food Prices for Nutrition 2.1,FPN 2.1,Anguilla,AIA,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Antigua and Barbuda,ATG,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Argentina,ARG,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Armenia,ARM,2021,YR2021,41.4
Food Prices for Nutrition 2.1,FPN 2.1,Aruba,ABW,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Australia,AUS,2021,YR2021,0.7
Food Prices for Nutrition 2.1,FPN 2.1,Austria,AUT,2021,YR2021,0.9
Food Prices for Nutrition 2.1,FPN 2.1,Azerbaijan,AZE,2021,YR2021,0
Food Prices for Nutrition 2.1,FPN 2.1,The Bahamas,BHS,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Bahrain,BHR,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Bangladesh,BGD,2021,YR2021,73.9
Food Prices for Nutrition 2.1,FPN 2.1,Barbados,BRB,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Belarus,BLR,2021,YR2021,0.5
Food Prices for Nutrition 2.1,FPN 2.1,Belgium,BEL,2021,YR2021,0.1
Food Prices for Nutrition 2.1,FPN 2.1,Belize,BLZ,2021,YR2021,53
Food Prices for Nutrition 2.1,FPN 2.1,Benin,BEN,2021,YR2021,82.6
Food Prices for Nutrition 2.1,FPN 2.1,Bermuda,BMU,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Bhutan,BTN,2021,YR2021,30.5
Food Prices for Nutrition 2.1,FPN 2.1,Bolivia,BOL,2021,YR2021,15.1
Food Prices for Nutrition 2.1,FPN 2.1,Bonaire,BON,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Bosnia and Herzegovina,BIH,2021,YR2021,3
Food Prices for Nutrition 2.1,FPN 2.1,Botswana,BWA,2021,YR2021,60.2
Food Prices for Nutrition 2.1,FPN 2.1,Brazil,BRA,2021,YR2021,22.4
Food Prices for Nutrition 2.1,FPN 2.1,British Virgin Islands,VGB,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Brunei Darussalam,BRN,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Bulgaria,BGR,2021,YR2021,4.2
Food Prices for Nutrition 2.1,FPN 2.1,Burkina Faso,BFA,2021,YR2021,83.4
Food Prices for Nutrition 2.1,FPN 2.1,Burundi,BDI,2021,YR2021,95.9
Food Prices for Nutrition 2.1,FPN 2.1,Cabo Verde,CPV,2021,YR2021,40.4
Food Prices for Nutrition 2.1,FPN 2.1,Cambodia,KHM,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Cameroon,CMR,2021,YR2021,60.5
Food Prices for Nutrition 2.1,FPN 2.1,Canada,CAN,2021,YR2021,0.7
Food Prices for Nutrition 2.1,FPN 2.1,Cayman Islands,CYM,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Central African Republic,CAF,2021,YR2021,95.8
Food Prices for Nutrition 2.1,FPN 2.1,Chad,TCD,2021,YR2021,83.1
Food Prices for Nutrition 2.1,FPN 2.1,Chile,CHL,2021,YR2021,3.5
Food Prices for Nutrition 2.1,FPN 2.1,China,CHN,2021,YR2021,9.1
Food Prices for Nutrition 2.1,FPN 2.1,Colombia,COL,2021,YR2021,31.3
Food Prices for Nutrition 2.1,FPN 2.1,Comoros,COM,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Democratic Republic of the Congo,COD,2021,YR2021,85.5
Food Prices for Nutrition 2.1,FPN 2.1,Republic of the Congo,COG,2021,YR2021,91.5
Food Prices for Nutrition 2.1,FPN 2.1,Costa Rica,CRI,2021,YR2021,14.4
Food Prices for Nutrition 2.1,FPN 2.1,C�te d'Ivoire,CIV,2021,YR2021,73
Food Prices for Nutrition 2.1,FPN 2.1,Croatia,HRV,2021,YR2021,1.8
Food Prices for Nutrition 2.1,FPN 2.1,Curacao,CUW,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Cyprus,CYP,2021,YR2021,0
Food Prices for Nutrition 2.1,FPN 2.1,Czech Republic,CZE,2021,YR2021,0.1
Food Prices for Nutrition 2.1,FPN 2.1,Denmark,DNK,2021,YR2021,0.2
Food Prices for Nutrition 2.1,FPN 2.1,Djibouti,DJI,2021,YR2021,65.3
Food Prices for Nutrition 2.1,FPN 2.1,Dominica,DMA,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Dominican Republic,DOM,2021,YR2021,25.8
